document_id,category,confidence,explanation,document_types_0,document_types_1,document_types_2,document_types_3,document_types_4,primary_subjects_0,ddc_classifications_0,summarys_0,topics_0,topics_1,topics_2,topics_3,topics_4,topics_5,topics_6,topics_7,topics_8,topics_9,categorys_0,categorys_1,categorys_2,categorys_3,categorys_4,categorys_5,monetarys_0,monetarys_1,monetarys_2,monetarys_3,monetarys_4,monetarys_5,monetarys_6,monetarys_7,monetarys_8,monetarys_9,scopess_0,scopess_1,scopess_2,namess_0,sensitivitys_0,namess_1,messages_0,categorys_6,categorys_7,categorys_8,date_and_timess_0,emailss_0,emailss_1,sensitivitys_1,sensitivitys_2,date_and_timess_1,date_and_timess_2,namess_2,monetarys_10,monetarys_11,monetarys_12,monetarys_13,monetarys_14,monetarys_15,monetarys_16,monetarys_17,monetarys_18,monetarys_19,monetarys_20,monetarys_21,monetarys_22,monetarys_23,monetarys_24,monetarys_25,monetarys_26,monetarys_27,monetarys_28,monetarys_29,monetarys_30,monetarys_31,monetarys_32,monetarys_33,monetarys_34,namess_3,namess_4,namess_5,namess_6,namess_7,namess_8,namess_9,namess_10,namess_11,namess_12,namess_13,namess_14,namess_15,namess_16,namess_17,namess_18,namess_19,namess_20,namess_21,namess_22,namess_23,namess_24,namess_25,namess_26,namess_27,namess_28,namess_29,namess_30,namess_31,namess_32,namess_33,namess_34,categorys_9,categorys_10,categorys_11,categorys_12,categorys_13,categorys_14,categorys_15,categorys_16,categorys_17,categorys_18,categorys_19,categorys_20,categorys_21,categorys_22,categorys_23,categorys_24,categorys_25,categorys_26,categorys_27,categorys_28,categorys_29,categorys_30,categorys_31,categorys_32,date_and_timess_3,date_and_timess_4,date_and_timess_5,date_and_timess_6,date_and_timess_7,date_and_timess_8,date_and_timess_9,date_and_timess_10,date_and_timess_11,date_and_timess_12,date_and_timess_13,date_and_timess_14,date_and_timess_15,date_and_timess_16,date_and_timess_17,date_and_timess_18,date_and_timess_19,date_and_timess_20,date_and_timess_21,date_and_timess_22,date_and_timess_23,scopess_3,scopess_4
3579,Restricted,85%,Contains sensitive financial data including revenue and customer information.,Spreadsheet,Financial Report,Data Analysis,Sales Report,Performance Metrics,Financial Data Analysis,330 - Economics,"This document contains a detailed financial analysis report with various metrics and values related to sales performance. It includes data from multiple vendors and customers, highlighting significant financial figures.",Sales Performance,Financial Metrics,Vendor Analysis,Customer Data,Revenue Tracking,Expense Reporting,Profit Analysis,Data Visualization,Market Trends,Financial Forecasting,Customers,Vendors,Sales Reports,Financial reports and planning,Accounting,Employee costs,45047.0 - Sales Revenue,5220.0 - Sales Revenue,190952.0 - Sales Revenue,827006.0 - Sales Revenue,314006.0 - Sales Revenue,24037.0 - Sales Revenue,36370.0 - Sales Revenue,180943.0 - Sales Revenue,154164.0 - Sales Revenue,152525.0 - Sales Revenue,Sales Analysis,Financial Reporting,Vendor Management,AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5338,Public,90%,"An XML document defining relationships for a slide presentation, not sensitive.",XML Document,Office Document Relationships,Slide Presentation,Image References,Notes Slide,Relationships in Office Document,005.5 - Computer Programming,"This XML document defines relationships for a slide presentation, including images and notes slides.",Office document structure,XML relationships,Slide presentations,Image references,Notes slides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8027,Public,90%,"Contains structural information about an Office document, does not include sensitive data.",XML Document,Office Document Relationships,Slide Relationships,,,Office document relationships,"005.5 - Computer programming, programs and data","This XML document defines relationships for an Office document, including slide layouts, notes slides, and images.",Office document structure,XML relationships,Slide layouts,Notes slides,Media references,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5381,Confidential,75%,Contains a confidentiality statement and likely sensitive design elements.,Presentation Slide Layout,PowerPoint Template,Design Template,,,Presentation Design,741.6 - Graphic Arts,"This document is a PowerPoint slide layout created by Veeam Software, containing a text box with a copyright notice and confidentiality statement.",PowerPoint Design,Slide Layout,Confidential Information,Copyright Notice,Veeam Software,,,,,,Copyright Notice,,,,,,,,,,,,,,,,,,,Veeam Software,Confidential information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8715,Public,60%,Generic information about HashiCorp without sensitive content.,,,,,,HashiCorp,,"This document pertains to HashiCorp, a company specializing in infrastructure automation software.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HashiCorp,,M Company,"ERROR PROCESSING DOCUMENT:
ERROR: unknown error has occurred ""There is no item named 'ppt/media/image7.png' in the archive""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7266,Restricted,80%,Detailed financial report includes customer data and sensitive financial figures.,Spreadsheet,Financial Report,Data Analysis,Budget Overview,Sales Report,Financial Data Analysis,330 - Economics,"This document contains a detailed financial report with various metrics and calculations related to sales performance, including customer data and financial figures.",Sales Performance,Financial Metrics,Customer Data,Budget Analysis,Revenue Tracking,Expense Reporting,Profit and Loss,Data Visualization,Trend Analysis,Forecasting,Sales Data,Customer Information,Financial Projections,Expense Reports,Revenue,Expenses,Revenue: 45000.0,Expenses: 20000.0,Profit: 25000.0,,,,,,,,Sales Analysis,Financial Reporting,Budget Management,Company ABC,,Vendor XYZ,,Profit,Loss,Budget,Report Date: 2023-10-01,contact@companyabc.com,support@vendorxyz.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12489,Public,95%,Contains notes for a presentation that do not reveal any sensitive information.,Presentation Notes,,,,,PowerPoint Presentation Notes,005.5 - Computer Software,"This document contains notes for a PowerPoint presentation, including a placeholder for an icon and slide number.",PowerPoint features,Presentation design,Slide management,Visual elements,Text formatting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12771,Public,88%,Certification document that generally does not contain sensitive information.,Certification,,,,,VMware Professional 6.5 Certification,004.6 - Computer Science - Data Center Virtualization,"This document certifies the completion of the VMware Professional 6.5 certification, focusing on data center virtualization technologies.",VMware certification,Data center virtualization,Professional training,IT certification,Virtualization technologies,,,,,,,,,,,,,,,,,,,,,,Certification scope,Professional development,,VMware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12835,Public,90%,"Describes a PowerPoint slide layout, no sensitive data included.",Presentation Slide,PowerPoint Layout,Slide Design,Visual Template,Graphic Design,PowerPoint Slide Layout,"005.5 - Computer Programming, Software Development","This document describes a PowerPoint slide layout for TeraSky Ltd, including design elements and placeholders for content.",PowerPoint Design,Slide Layout,Visual Elements,Graphic Design,Corporate Branding,Presentation Tools,Content Organization,Template Creation,User Interface Design,Digital Communication,,,,,,,,,,,,,,,,,Design Scope,Presentation Scope,,TeraSky Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13594,Restricted,80%,Contains personally identifiable information (PII) like name and contact details.,Resume,Curriculum Vitae,Professional Profile,,,Aspiring DevOps Engineer,005.1 - Computer Science,"Resume of Ben Zarochinsky, an aspiring DevOps Engineer with skills in CI/CD, Kubernetes, Linux, IaC, and AWS fundamentals.",DevOps,Cloud Computing,Automation,CI/CD,Kubernetes,Linux,Infrastructure as Code,AWS,Self-Study,Career Development,Contact,Documents,,,,,,,,,,,,,,,,,,Ben Zarochinsky,Full Name,,,,,,,benzarochinsky@gmail.com,,Email Address,Phone Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
