document_id,category,confidence,explanation,document_types_0,document_types_1,document_types_2,primary_subjects_0,ddc_classifications_0,summarys_0,topics_0,topics_1,topics_2,topics_3,topics_4,categorys_0,categorys_1,sensitivitys_0,sensitivitys_1,scopess_0,scopess_1,monetarys_0,monetarys_1,monetarys_2,monetarys_3,monetarys_4,monetarys_5,monetarys_6,monetarys_7,monetarys_8,monetarys_9,monetarys_10,monetarys_11,monetarys_12,monetarys_13,monetarys_14,monetarys_15,monetarys_16,monetarys_17,monetarys_18,monetarys_19,monetarys_20,monetarys_21,monetarys_22,monetarys_23,monetarys_24,monetarys_25,monetarys_26,monetarys_27,monetarys_28,messages_0,document_types_3,document_types_4,topics_5,topics_6,topics_7,topics_8,topics_9,categorys_2,categorys_3,categorys_4,scopess_2,namess_0,namess_1,namess_2,categorys_5,date_and_timess_0,date_and_timess_1,namess_3,namess_4,namess_5,compensations_0,namess_6,namess_7,namess_8,namess_9,namess_10,namess_11,namess_12,namess_13,date_and_timess_2,date_and_timess_3,date_and_timess_4,emailss_0,emailss_1,emailss_2,categorys_6,categorys_7,categorys_8,emailss_3,emailss_4
61402,Restricted,85%,Contains personal information including full names and email addresses of participants.,Survey Response,Feedback Form,Training Evaluation,Feedback on Google Classroom Training,371.3 - Education Technology,"This document contains feedback from participants regarding their experience with a Google Classroom training session, including their names, emails, and comments.",Google Classroom usage,Training effectiveness,Participant feedback,Educational technology,Professional development,Names,Emails,Full Name,Email Address,Training feedback,Educational practices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730,Public,90%,"Technical document with no sensitive information, relates to Office XML structure.",XML Document,Office Document Relationships,,Document Relationships in Office XML,005.5 - Computer Programming,"This XML document defines relationships for an Office document, including slide layouts, notes slides, and images.",Office XML structure,Document relationships,Slide layouts,Notes slides,Media references,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3687,Confidential,75%,Contains financial data that may be sensitive to the organization.,Spreadsheet,Data Report,Financial Analysis,Financial Data Overview,330 - Economics,This document contains a financial data overview with various monetary values represented in scientific notation.,Financial Reporting,Data Analysis,Monetary Values,Statistical Overview,Economic Trends,Financial reports and planning,,,,,,4.73059407246E11 - Financial Value 1,6.98733619271E11 - Financial Value 2,9.0232795555E10 - Financial Value 3,4.91844283486E11 - Financial Value 4,3.85956423738E11 - Financial Value 5,5.48630824032E11 - Financial Value 6,3.03443612045E11 - Financial Value 7,7.9205918045E10 - Financial Value 8,1.32848741407E11 - Financial Value 9,6.13340662736E11 - Financial Value 10,1.32470845777E11 - Financial Value 11,3.25904877241E11 - Financial Value 12,6.5729903744E10 - Financial Value 13,3.22513381319E11 - Financial Value 14,4.73797277466E11 - Financial Value 15,1.54510741872E11 - Financial Value 16,5.48329105851E11 - Financial Value 17,6.46090648482E11 - Financial Value 18,5.80822130934E11 - Financial Value 19,6.26939530159E11 - Financial Value 20,8.06547976271E11 - Financial Value 21,6.56086717054E11 - Financial Value 22,4.45519679892E11 - Financial Value 23,6.57793106363E11 - Financial Value 24,5.42218670306E11 - Financial Value 25,4.97308825221E11 - Financial Value 26,2.0719904814E11 - Financial Value 27,7.72378514281E11 - Financial Value 28,6.70745509378E11 - Financial Value 29,ERROR PROCESSING DOCUMENT:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5593,Public,85%,"Metadata for Microsoft Office products, generally non-sensitive.",,,,Label Metadata,005.74 - Information Systems,"This document contains label metadata for Microsoft Office, specifically for the year 2020.",Microsoft Office,Labeling,Data Protection,Information Management,Metadata Standards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5784,Internal,80%,Details requirements for integration which might include sensitive configurations.,Technical Requirements Document,Business Requirements Document,Meeting Notes,Requirements for IdP / SSO integration with GSuite and Okta,"004.6 - Computer Science, Information Systems","This document outlines the requirements for integrating Okta as an Identity Provider (IdP) with GSuite for Single Sign-On (SSO) capabilities, addressing user access management, compliance, and automation needs for Mambu's cloud infrastructure.",Identity Provider integration,Single Sign-On requirements,User access management,Compliance and security,Okta and GSuite functionalities,User access management,Compliance requirements,,,User access management,Compliance and security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q&A Document,Project Proposal,User provisioning,Dynamic attributes,Group membership claims,Account lockout policies,Infrastructure as code,Automation of access granting,Granular access control,Service Level Agreement,Cloud infrastructure management,Mambu,Okta,GSuite,,,,,,,,,,,,,,,,,,,,,,,,,,
9090,Public,90%,Presentation slide discussing non-sensitive data management topics.,Presentation Slide,,,ONTAP SnapMirror SVM Replication,004.6 - Data Management,"This document is a PowerPoint slide discussing ONTAP SnapMirror SVM Replication, featuring a title and a slide number placeholder.",Data Management,Replication Technology,Storage Solutions,ONTAP Features,SVM Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12771,Public,90%,"Certification document, relates to individual’s training accomplishments.",Certification,,,VMware Professional 6.5 Certification,004.6 - Computer Science - Data Center Virtualization,"This document certifies the completion of the VMware Professional 6.5 certification, focusing on data center virtualization technologies.",VMware certification,Data center virtualization,Professional training,IT certification,Virtualization technologies,,,,,Certification scope,Professional development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VMware,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58196,Confidential,80%,Includes detailed marketing budget allocations and potentially sensitive financial information.,Budget Report,Financial Document,Marketing Plan,2025 Marketing Budget Overview,658.15 - Marketing Management,"This document outlines the marketing budget for 2025, detailing allocations for various departments and activities, including salaries, events, and production costs. Key entries include sponsorships for the Cloud Native Computing Foundation and Linux Foundation, as well as various marketing events.",Marketing Budget,Event Sponsorships,Production Costs,Graphic Design Expenses,Webinars and Online Events,Salaries,Marketing Budget,,,Marketing Activities,Event Management,Marketing Production: 96000.0,Graphic Design: 48000.0,SEO: 10000.0,Webinars: 14000.0,Print: 12000.0,PR Distribution: 12000.0,Giveaway: 20000.0,Sponsorship Cloud Native Computing Foundation: 2000.0,Sponsorship Linux Foundation: 10000.0,Speaking Opportunities Management: 48000.0,AWS TLV Summit: 45000.0,Dell Technology Forum: 2000.0,DevOpsDays TLV: 15000.0,Google Cloud Day: 10000.0,Pure events: 10000.0,Google Summit: 15000.0,Vendors relations (TS office): 7500.0,Procurement Innovation Summit: 15000.0,VMware Explore Barcelona: 15000.0,VMware Technology Forum IL: 10000.0,HashiConf US: 30000.0,Event US: 30000.0,Event UK: 20000.0,Unknown events: 40000.0,,,,,,,Event Planning,Expense Report,Public Relations,Salaries and Compensation,Marketing Tools,SEO and Website Maintenance,Community Engagement,Event Sponsorships,Production Costs,Budget Allocations,Budget Planning,Cloud Native Computing Foundation,Linux Foundation,AWS,Expense Reports,2025-01-01 00:00:00 - Budget Start Date,2025-12-01 00:00:00 - Budget End Date,Dell,Google,VMware,Salaries,,,,,,,,,,,,,,,,,,,
59725,Confidential,75%,Tracks sales opportunities that include client names and possible sensitive revenue data.,Sales Opportunity Tracker,Project Management Document,Client Engagement Report,Sales opportunities and project status updates,658.8 - Sales Management,"This document tracks various sales opportunities with clients such as South Jersey Industries, BD, and Hackensack Meridian Health, detailing the status of each step in the sales process.",Sales process stages,Client engagement,Project management,Revenue tracking,Opportunity status,Sales opportunities,Client interactions,,,Sales process,Client engagement,500000.00 - South Jersey Industries,511452.00 - Beit Israel Medical Center,802769.94 - Hackensack Meridian Health,364101.00 - Hanover Insurance Services,438858.00 - Parexel International,,,,,,,,,,,,,,,,,,,,,,,,,,,,Internal coordination,External meetings,Customer follow-up,Sales updates,Team collaboration,Project status updates,Revenue amounts,Sales projections,Project management,South Jersey Industries,"Becton, Dickenson and Company",Beit Israel Medical Center,,4/10 - Hanover Insurance Services meeting,Q3 - Phressia deal timeline,Hackensack Meridian Health,Hanover Insurance Services,Nielsen,,Phressia,VISA,Isracard,Pelephone,Mizrachi Bank,Parexel International,DEBEVOISE & PLIMPTON,Freddie Mac,,,,,,,,,,,
61130,Confidential,75%,Operational expenditure report including various financial details.,Financial Report,Budget Plan,Expense Report,Operational Expenditure (Opex) for 2025,658.15 - Business Management: Financial Management,"This document outlines the operational expenditure (Opex) budget for 2025, detailing various IT tools, communication services, and maintenance costs. It includes specific expenses for onboarding, IT tools, and communication services, with a total expenditure of 27,573.5. Notable entries include Google WorkSpace, Zoom, and AWS costs.",Operational Expenditure,IT Tools,Communication Services,Budget Planning,Expense Tracking,Onboarding Expenses,IT Tool Expenses,,,2025 Budget,IT Department,Google WorkSpace: 29808,Zoom: 3948,AWS: 72000,Total Opex: 27573.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onboarding Costs,Maintenance Expenses,Annual Budget,Financial Management,Cost Analysis,Communication Expenses,Office Maintenance,Total Opex for 2025,Communication Services,Google,Zoom,AWS,,2025-01-01: Start of Budget Year,2025-12-01: End of Budget Year,DocuSign,Adobe,,,,,,,,,,,,,,,,,,,,,
62077,Public,90%,XML document with no sensitive information found.,XML Document,Office Document Relationships,Slide Relationships,Office document relationships,"005.5 - Computer programming, software","This XML document defines relationships for an Office document, including slide layouts, notes slides, and images.",Office document structure,XML relationships,Slide layouts,Notes slides,Media references,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25687,Public,90%,XML document with general information on office document relationships.,XML Document,Office Document Relationships,Slide Master Relationships,Office Document Relationships,"005.5 - Computer Programming, Programs and Data","This XML document defines relationships for an Office document, including slide masters and images.",XML structure,Office document relationships,Slide master,Image references,OpenXML standards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
